default_setting_uuid;app_uuid;default_setting_category;default_setting_subcategory;default_setting_name;default_setting_value;default_setting_order;default_setting_enabled;default_setting_description
fd1afabc-81df-4569-8e6a-3dc710404ee8;;domain;menu;uuid;b4750c3f-2a86-b00d-b7d0-345c14eca286;;true;
ddcb9923-bc7c-4f71-9d72-53bb827dd96a;;domain;time_zone;name;"";;true;
d2803668-0760-4672-ba88-1976cc3fc97f;;domain;language;code;en-us;;true;
dd9a70ab-5615-433d-b1a4-8958e4978c60;;domain;country;iso_code;US;;true;
2b3e728a-fc89-4edd-bfd3-01c6a55bd717;;domain;template;name;default;;true;
697099ce-1fad-46da-97dd-8c06bd31c83e;;server;temp;dir;/tmp;;true;
982cf897-2625-41fe-b129-1c75914ef381;;server;backup;dir;/tmp;;true;
8ebeb864-f03e-406c-b82f-6eb47cb1bd39;;limit;call_center_queues;numeric;3;;false;""
4fedc226-caca-4ebf-b4eb-31de93e5bed3;;follow_me;max_destinations;numeric;5;;false;Set the maximum number of Follow Me Destinations.
ce105d64-2d1b-4d19-ae34-ccb818cc9c6e;;follow_me;timeout;numeric;30;;false;Set the default Follow Me Timeout value.
70d8538a-89ab-4db6-87b1-f5e447680283;;limit;destinations;numeric;3;;false;""
e05a4745-ea59-47a7-8e7f-5db7d2a5c273;;limit;devices;numeric;3;;false;""
2e217303-53ff-4dda-b74e-7f07738d83c2;;editor;font_size;text;14px;;false;Set the default text size for Editor.
8701cdca-64a1-4ff4-85a1-a09b1389ce92;;editor;indent_guides;boolean;false;;false;Set the default visibility of indent guides for Editor.
5669f8cf-f0a0-4d9c-ad75-caf239e9f5cd;;editor;invisibles;boolean;false;;false;Set the default state of invisible characters for Editor.
7122cb30-d557-4001-af94-d8d21f964a63;;editor;line_numbers;boolean;false;;false;Set the default visibility of line numbers for Editor.
62cfc1ac-6566-45ba-8c7d-f4234ab1b31e;;editor;live_previews;boolean;false;;false;"Enable or disable live previewing of syntax, text size and theme changes."
7b403afd-e4d6-4e96-8c8f-2cf5d6187191;;editor;theme;text;Cobalt;;false;Set the default theme.
db3290e5-d3fb-4bcd-b2a8-a0061aa02532;;domain;dial_string;text;"{sip_invite_domain=${domain_name},leg_timeout=${call_timeout},presence_id=${dialed_user}@${dialed_domain}}${sofia_contact(*/${dialed_user}@${dialed_domain})}";;false;""
3eeb3757-f7bb-437a-9021-8ccf3f27c98b;;limit;extensions;numeric;3;;false;""
6840bdb0-eb9d-45bd-a79a-ccb64d08fd97;;fax;allowed_extension;array;.pdf;;true;""
7031d8ec-4610-4696-b5b4-9b5f89f2bff1;;fax;allowed_extension;array;.tif;;true;""
c3c4487d-62f1-48d1-9fda-048fca830fb9;;fax;allowed_extension;array;.tiff;;true;""
cec88775-8aaf-4667-a04d-414b3274e545;;fax;cover_logo;text;"";;false;Path to image/logo file displayed in the header of the cover sheet.
6aba55ae-ced9-4853-81d0-33667be763e5;;fax;cover_font;text;times;;false;Font used to generate cover page. Can be full path to .ttf file or font name alredy installed.
549f8854-2377-448f-892c-58a85ac83a56;;fax;cover_footer;text;"The information contained in this facsimile is intended for the sole confidential use of the recipient(s) designated above, and may contain confidential and legally privileged information. If you are not the intended recipient, you are hereby notified that the review, disclosure, dissemination, distribution, copying, duplication in any form, and taking of any action in regards to the contents of this document - except with respect to its direct delivery to the intended recipient - is strictly prohibited.  Please notify the sender immediately and destroy this cover sheet and all attachments.  If stored or viewed electronically, please permanently delete it from your system.";;true;Notice displayed in the footer of the cover sheet.
e907df99-6b3a-4864-bd11-681888f20289;;fax;cover_header;text;"";;false;Default information displayed beneath the logo in the header of the cover sheet.
8338a404-3966-416e-b4f9-a1ac36c37bd1;;fax;page_size;text;letter;;true;Set the default page size of new faxes.
9fd6cb5f-5824-4cbb-89b2-53066649272e;;fax;resolution;text;normal;;true;Set the default transmission quality of new faxes.
63e55b19-8bf2-4aaa-b7df-a514c62ecfcc;;fax;variable;array;fax_enable_t38=true;;true;Enable T.38
0f07d24a-296a-4798-8478-e6ef1a59f54f;;fax;variable;array;fax_enable_t38_request=false;;true;Send a T38 reinvite when a fax tone is detected.
7681e5d8-1462-420b-9276-acf4b2156982;;fax;variable;array;ignore_early_media=true;;true;Ignore ringing to improve fax success rate.
80eee263-a22c-4ec9-9df1-397908a274f6;;fax;keep_local;boolean;true;;true;Keep the file after sending or receiving the fax.
63d2cb3c-708a-43c2-b233-a3f4e3367224;;fax;send_mode;text;queue;;false;""
d2977fe1-ee7e-4403-b44f-8d86aeb5f310;;fax;send_retry_limit;numeric;5;;true;Number of attempts to send fax (count only calls with answer)
6ca1712b-5a53-4c54-ba53-b2046c89280d;;fax;send_retry_interval;numeric;15;;true;Delay before we make next call after answered call
2c5640d0-493f-4426-b76d-04e378c86d76;;fax;send_no_answer_retry_limit;numeric;3;;true;Number of unanswered attempts in sequence
03820df1-f242-4358-950f-ede87f502e9a;;fax;send_no_answer_retry_interval;numeric;30;;true;Delay before we make next call after no answered call
9ed2e73c-6b82-4a79-83db-b7588f78c675;;fax;send_no_answer_limit;numeric;3;;true;Giveup reach the destination after this number of sequences
c97457b7-da9a-44a6-a4a4-442dbf5fa4fa;;fax;send_no_answer_interval;numeric;300;;true;Delay before next call sequence
325e3b06-1199-40e0-8703-8adf7efd9f4f;;fax;storage_type;text;base64;;false;Store FAX in base64.
df031ab4-087d-4e0e-92ac-e96f5d0aa55d;;limit;gateways;numeric;3;;false;""
ce17d7af-650a-49c0-b3e4-3bb8c1dad566;;ivr_menu;option_add_rows;numeric;5;;true;""
74376817-89de-49e1-bddd-868a8ebb49ec;;ivr_menu;option_edit_rows;numeric;1;;true;""
26984efd-2445-4ac9-b459-bb7bda4217c6;;limit;ivr_menus;numeric;3;;false;""
931f9369-9aac-4620-8d4b-7d2bf642b1d2;;provision;enabled;text;true;;false;""
3790e46b-ef9e-4cdc-bfd2-6b3708751843;;provision;auto_insert_enabled;boolean;true;;false;""
27b7ccfd-58d7-409c-80ff-cca014349d70;;provision;http_auth_type;text;digest;;false;""
c6a5b05b-210d-484f-bbb6-c1dd2223992e;;provision;http_auth_username;text;"";;false;""
ed380d7d-b3b8-40b4-8528-f10d521ddef0;;provision;http_auth_password;text;"";;false;""
c998c762-6a43-4911-a465-a9653eeb793d;;provision;http_auth_disable;boolean;false;;false;""
d376fe0f-fb89-4418-8fb4-590e4cac483f;;provision;cidr;array;"";;false;""
a5323190-b733-49c1-99c4-396ab8950bb8;;provision;admin_name;text;"";;false;""
ae3f809e-81af-4ed4-82f7-275251210d3a;;provision;admin_password;text;"";;false;""
cd2173be-aa43-4fd2-9c75-02f49c199485;;provision;path;text;"";;false;""
559cd2d6-8ca0-4e6e-ae9d-565c8eed898d;;provision;voicemail_number;text;*97;;true;""
a9dc7f4a-0a19-40cb-829a-093bf81d00db;;provision;line_sip_port;numeric;5060;;true;""
472300e4-267a-4f0d-83ab-04d2017c7d0f;;provision;line_sip_transport;text;tcp;;true;""
5bc38b86-089f-44cb-9fff-38be38c497e8;;provision;line_register_expires;numeric;120;;true;""
1752b247-873b-4d41-9846-b9df93efe8df;;provision;polycom_gmt_offset;text;"";;false;3600 * GMT offset
098b2abd-3af3-4104-8fba-fabf9573f925;;provision;polycom_digitmap;text;[*]xxxx|[2-9]11|0T|011xxx.T|[0-1][2-9]xxxxxxxxx|[2-9]xxxxxxxxx|[1-9]xxT|**x.T;;false;""
5aa7f396-d742-48f1-b53f-c609b9a6759a;;provision;daylight_savings_start_month;text;3;;true;""
7d742914-9c55-4cee-a295-c19501389f41;;provision;daylight_savings_start_day;text;12;;true;""
ef0ad392-8956-4355-bf44-48d8712c74c1;;provision;daylight_savings_start_weekday;text;7;;true;""
7b444c2f-bed7-4da5-8cf3-4cc79df8625f;;provision;daylight_savings_start_time;text;2;;true;""
f8e7b78b-1b84-42da-9e14-ec03dbb67c52;;provision;daylight_savings_stop_month;text;11;;true;""
6f4a9657-e130-4003-bc96-22a1312d76f4;;provision;daylight_savings_stop_day;text;5;;true;""
e7942398-3d32-4a32-924f-e61bf31299fa;;provision;daylight_savings_stop_weekday;text;7;;true;""
d3e72ae2-b887-443d-8523-96726343bb55;;provision;daylight_savings_stop_time;text;2;;true;""
931d6cc7-ca82-4813-ae92-7015e0c2ea1b;;provision;http_domain_filter;boolean;true;;true;""
fc2fa8cd-b14e-48e3-99bd-7c01c9d6208d;;provision;yealink_time_zone;text;-6;;false;Time zone ranges from -11 to +12
7f4a1607-4cbe-49f5-8cd2-6d599b89bd9b;;provision;yealink_time_format;text;1;;false;"0-12 Hour, 1-24 Hour"
166b27d1-1860-4154-88d3-5e15781e7bbb;;provision;yealink_date_format;text;3;;false;"0-WWW MMM DD (default), 1-DD-MMM-YY, 2-YYYY-MM-DD, 3-DD/MM/YYYY, 4-MM/DD/YY, 5-DD MMM YYYY, 6-WWW DD MMM"
05bcbb47-06f6-4c81-a1c9-cdf2982d60a7;;provision;yealink_rport;boolean;1;;true;Send the response back to the source it came from.
70894b7b-2edd-41ad-8526-060589df4e11;;provision;yealink_session_timer;boolean;1;;true;SIP Session Timers
aa200d6f-c048-4203-9838-8dd05fa31bd5;;provision;yealink_retransmission;boolean;1;;true;Retransmission
6c4430f6-3713-4c8b-9da3-eaf1705d7dc3;;provision;contact_users;boolean;true;;false;""
c5196771-f408-40b3-81c7-b4ce525620c3;;provision;contact_groups;boolean;true;;false;""
8854358d-c6a4-4eeb-b21b-37ced80a4fbb;;provision;contact_extensions;boolean;true;;false;allow extensions to be provisioned as contacts as $extensions in provision templates
d157078e-b363-4f34-a6d4-8a86990a40b7;;provision;number_as_presence_id;text;true;;true;""
48dd60fe-d7de-417c-85c4-2d2d897a709c;;provision;ntp_server_primary;text;pool.ntp.org;;true;""
7bcc3c26-ac55-4934-be9f-e0edfbc7193b;;provision;ntp_server_secondary;text;2.us.pool.ntp.org;;true;""
da21eec7-699b-4a8b-a5e5-30ce118aaf8c;;provision;spa_time_zone;text;GMT-07:00;;true;""
a6529f0e-9d8b-43b9-b487-db42b9b6be25;;provision;spa_time_format;text;12hr;;true;"12hr,24hr"
58c764a9-4f71-4cd2-a44a-1ab52990b97f;;provision;spa_date_format;text;day/month;;true;""
9c9886a0-92f6-4dd7-8c1b-d04f240d9a9b;;provision;spa_back_light_timer;text;30 s;;true;""
7c7fb3c1-3796-4c5f-b090-2aec955e023b;;provision;spa_handle_via_rport;text;Yes;;true;""
8311d0c9-73ae-4d49-9036-e2f649586b5b;;provision;spa_insert_via_rport;text;Yes;;true;""
72de5cdf-31f8-4d4b-b94b-468be0aa7a3d;;provision;spa_dial_plan;text;(*xxxxxxx|*xxxxxx|*xxxxx|*xxxx|*xxx|*xx*|*x|**xxxxx|**xxxx|**xxx|**xx|[3469]11|0|00|[2-9]xxxxxx|1xxx[2-9]xxxxxxS0|xxxxxxxxxxxx.);;true;""
bf122bc9-c9bf-497c-9dda-95d125293eaf;;provision;yealink_srtp_encryption;numeric;0;;true;""
f0704072-c3d9-48df-b89b-2aea6035b3c4;;provision;yealink_call_waiting;numeric;1;;true;Call Waiting 1=enabled 0=disable
564c50ee-4403-4e26-a30b-637f661db389;;provision;spa_call_waiting;text;Yes;;true;Call Waiting Yes=enabled No=disable
8fc369c3-bd6e-4fbb-957c-681de8a325fc;;provision;snom_call_waiting;text;on;;true;Call Waiting on=enabled off=disable visual only and ringer
096ef50c-3ff4-4a1f-bc37-79876a7eb832;;provision;polycom_call_waiting;numeric;1;;true;Call Waiting 1=enabled 0=disable
bf083e2c-ad73-48ba-a981-9e1c92b2554e;;provision;grandstream_call_waiting;numeric;0;;true;Call Waiting 0=enabled 1=disable
2c3445ff-0339-43d4-8762-3c87ec37be57;;provision;yealink_outbound_proxy_fallback_interval;numeric;3600;;false;Integer from 0 to 65535
78f05ec5-d59c-4033-aeb5-62c9f46999cb;;provision;yealink_rfc2543_hold;numeric;0;;false;Default 0
be02b916-3419-4bc7-881e-46711134577c;;provision;yealink_blf_led_mode;numeric;0;;false;The value is 0(default) or 1.
2f5e8429-6890-4da7-84ae-65c9c29b5091;;provision;yealink_trust_ctrl;numeric;1;;true;"(0-Disabled;1-Enabled)"
561035ed-e388-4d5e-888d-367455faa05c;;provision;yealink_direct_ip_call_enable;numeric;0;;false;"(0-Disabled;1-Enabled)"
c45264b7-6e85-42e4-b245-f22caff091d4;;provision;yealink_hide_feature_access_codes_enable;numeric;0;;false;"(0-Disabled;1-Enabled)"
ada36bd5-51ab-4bf8-a2ad-bc39671b2a3a;;provision;yealink_missed_call_power_led_flash_enable;numeric;0;;false;"(0-Disabled:power indicator LED is off;1-Enabled:power indicator LED is solid red)"
fb13e647-ca3f-4da6-901c-584b8cde4055;;provision;yealink_voice_mail_popup_enable;numeric;0;;false;Display Voice Mail Popup
dc4a391f-25b7-44bb-accb-efb23f20662c;;provision;yealink_missed_call_popup_enable;numeric;0;;false;Display Missed Call Popup
6fd955ef-2f65-41f0-84cf-5b3ad917cc20;;provision;yealink_dtmf_hide;numeric;1;;true;0-Disabled 1-Enabled
968c9f53-305c-4fbd-a7dd-4dd6099e829e;;provision;yealink_sip_listen_port;numeric;5060;;false;5060 default
a780b88f-188b-4d73-a1df-f93a114ca16d;;recordings;storage_type;text;base64;;false;""
745d8fdc-57bc-4f43-97d7-508fda8f70a8;;ring_group;destination_add_rows;numeric;5;;true;""
ddf306c9-6f58-40f7-910e-2f27dc33fa57;;ring_group;destination_edit_rows;numeric;1;;true;""
de655030-ae71-4b53-8068-5cf0b14cf635;;limit;ring_groups;numeric;3;;false;""
e13895b7-ef2f-43ed-8d2a-e739ccffccc2;;provision;tftp_service_address;text;0.0.0.0;;true;the address for the TFTP service to listen for connection on
3fe87ea5-9633-4af0-bb5c-a61dbba2772c;;provision;tftp_service_port;numeric;69;;true;the port for the TFTP service to listen for connection on
5e21c189-ac27-42aa-acaf-57c8cdcbbcef;;provision;tftp_service_file_path;numeric;/tmp;;true;the location for static files e.g. firmware
c8cbb0eb-850b-4afd-a918-cceaf8af3957;;time_conditions;region;text;usa;;true;What region to use by default when choosing Time Conditions
528ec73e-03bb-4ea1-9ce1-19b81fb3f584;;time_conditions;preset_england;array;"{""new_years_day"":{""mday"":""1"",""mon"":""1""}}";;true;England Holiday
420b7282-2e49-4d63-9eb3-48b3b96bc184;;time_conditions;preset_england;array;"{""may_day"":{""mon"":""5"",""mday"":""1-7"",""wday"":""2""}}";;true;England Holiday
c9ab6e93-63e0-4098-9290-7a721e813450;;time_conditions;preset_england;array;"{""spring_bank_holiday"":{""mon"":""5"",""mday"":""25-31"",""wday"":""2""}}";;true;England Holiday
b7eac3ac-a99d-4fc8-8e3e-682a17a5b463;;time_conditions;preset_england;array;"{""august_bank_holiday"":{""mon"":""8"",""mday"":""25-31"",""wday"":""2""}}";;true;England Holiday
cde53fd6-713e-43f9-beed-3cace375de56;;time_conditions;preset_england;array;"{""christmas_day"":{""mday"":""25"",""mon"":""12""}}";;true;England Holiday
3ddfd3b3-5c2e-45ef-b3ca-7f361ecc0a93;;time_conditions;preset_england;array;"{""boxing_day"":{""mday"":""26"",""mon"":""12""}}";;true;England Holiday
3df036bb-ae96-4735-96da-a32e90b51940;;time_conditions;preset_usa;array;"{""new_years_day"":{""mday"":""1"",""mon"":""1""}}";;true;USA Holiday
7a12b17c-67d9-439e-98fb-70039d27cf21;;time_conditions;preset_usa;array;"{""martin_luther_king_jr_day"":{""wday"":""2"",""mon"":""1"",""mday"":""15-21""}}";;true;USA Holiday
1ce5c94b-7181-4b33-92b0-2cf4a97f2fa3;;time_conditions;preset_usa;array;"{""presidents_day"":{""wday"":""2"",""mon"":""2"",""mday"":""15-21""}}";;true;USA Holiday
b397c4e2-861d-425f-bd8f-8d22c319157f;;switch;db;dir;/var/lib/freeswitch/db;;true;""
0957bbc4-60e8-44d1-b51d-943de4ee5b2f;;time_conditions;preset_usa;array;"{""memorial_day"":{""mday"":""25-31"",""wday"":""2"",""mon"":""5""}}";;true;USA Holiday
0aa94174-a339-47d6-b6ab-c264b3786074;;time_conditions;preset_usa;array;"{""independence_day"":{""mday"":""4"",""mon"":""7""}}";;true;USA Holiday
be512c08-029e-49a0-937d-1a62fc029609;;time_conditions;preset_usa;array;"{""labor_day"":{""wday"":""2"",""mon"":""9"",""mday"":""1-7""}}";;true;USA Holiday
261a0ea4-26a3-4261-95e5-888afd221ca0;;time_conditions;preset_usa;array;"{""columbus_day"":{""wday"":""2"",""mon"":""10"",""mday"":""8-14""}}";;true;USA Holiday
829d346b-b0ed-4690-8641-8ed01052e303;;time_conditions;preset_usa;array;"{""veterans_day"":{""mday"":""11"",""mon"":""11""}}";;true;USA Holiday
c1fdfebe-3544-4b01-8a83-d0fee8e9a47a;;time_conditions;preset_usa;array;"{""thanksgiving_day"":{""wday"":""5-6"",""mon"":""11"",""mday"":""22-28""}}";;true;USA Holiday
82e3eb39-27a4-4d70-8436-11059d3e51e7;;time_conditions;preset_usa;array;"{""christmas_day"":{""mday"":""25"",""mon"":""12""}}";;true;USA Holiday
1cf61dea-42b5-4799-b9fa-f2c3bd29e933;;voicemail;voicemail_file;text;attach;;true;"Define whether to attach voicemail files to email notifications, or only include a link."
4723fe3b-e7ec-409e-a4a8-15ae274253fb;;voicemail;keep_local;boolean;true;;true;Define whether to keep voicemail files on the local system after sending attached via email.
9a4879c0-87ac-42e5-99f2-2ca2c77dbd98;;voicemail;storage_type;text;base64;;false;Define which storage type (base_64 stores in the database).
690a36a8-b6d3-47ea-8780-1af609c1966c;;voicemail;message_max_length;numeric;300;;true;Maximum length of a voicemail (in seconds).
bfe802b1-fcad-41a3-9da2-6b0efdb0c05f;;voicemail;password_length;numeric;8;;true;The default length of characters in a voicemail password.
b127ca03-c682-4d71-b412-4e50f1aca339;;voicemail;greeting_max_length;numeric;90;;true;Maximum length of a voicemail greeting (in seconds).
dd09f9d8-6662-4270-9dac-b87191b77012;;voicemail;display_domain_name;boolean;true;;false;Enable display of @domain_name after voicemail_id when rendering emails.
370714b1-4d6d-4bb1-bb77-eae1fd668be3;;voicemail;remote_access;boolean;false;;true;Allow access to the voicemail menu with the correct voiemail password.
d09e808d-bd28-400a-81db-8d41b6394527;;voicemail;message_order;text;asc;;true;Set the message order to asc or desc.
dbbadd02-f95d-480b-85d5-2a4113d4cccc;;cdr;format;text;json;;true;""
23335ac0-9466-4d16-af3f-81aa347159b1;;cdr;storage;text;db;;true;""
cdb19dda-234b-407a-9eda-e8af74597d4b;;cdr;limit;numeric;800;;true;""
cea53099-96c0-405f-ada6-219d0b398944;;cdr;http_enabled;boolean;true;;true;""
cee8b1af-8b02-47e4-aa8e-267b18b69b67;;domain;cidr;array;"";;false;""
cb55e6ac-9bb0-4714-b68f-82b39a3b9ec2;;domain;country;code;us;;true;""
c338e26c-0dd5-4ad5-a055-82e2c5ed3f6f;;domain;bridge;text;outbound;;true;"outbound,loopback,lcr"
48874632-421d-4829-a6b7-0695c589d85f;;domain;paging;numeric;100;;true;Set the maximum number of records displayed per page. (Default: 50)
57d81b35-bc24-4e92-8436-4335ab5e9d0b;;security;password_length;numeric;10;;true;Set the required/default length for user/system generated passwords.
0fa21a56-7515-4c65-b5f8-270cc24ea375;;security;password_number;boolean;true;;false;Set whether to require at least one number in user passwords.
d5f9acbd-857c-42eb-9e9a-92a850fcb734;;security;password_lowercase;boolean;true;;true;Set whether to require at least one lowecase letter in user passwords.
256b0d87-a43e-4618-b96b-541e191879c7;;security;password_uppercase;boolean;true;;false;Set whether to require at least one uppercase letter in user passwords.
4209ff1f-6ea8-4b77-81be-bd75e8670785;;security;password_special;boolean;true;;false;Set whether to require at least one special character in user passwords.
718b1641-fa3c-4861-b1f3-40635c951888;;security;password_strength;numeric;4;;true;"Set the default strength for system generated passwords.  Valid Options: 1 - Numeric Only, 2 - Include Lower Apha, 3 - Include Upper Alpha, 4 - Include Special Characters."
33914c55-9081-4b95-b62e-f1a500088d78;;security;session_rotate;boolean;true;;true;Whether to regenerate the session ID.
97a2410b-cfc8-4194-9172-dd5b0acfa9f3;;email;smtp_auth;var;true;;true;""
9f4a1209-72ba-435b-90e1-4cba48d74509;;email;method;text;smtp;;false;smtp|sendmail|mail|qmail
8efff742-eea4-493d-abeb-064457586e26;;email;smtp_port;numeric;0;;false;use non-default port if enabled and non-zero
16f40b7b-293d-4308-81f4-772e0ea4c536;;email;smtp_from;var;"";;true;""
2976da3a-d8e5-4e25-9f16-463dfa256f4d;;email;smtp_from_name;var;"";;true;""
0bd788c1-3262-4336-92f4-ef7869062380;;email;smtp_host;var;"";;true;""
49e778a6-22a7-418f-84b9-bfa27e38f2e5;;email;smtp_username;var;"";;true;""
8a5ae059-9bf3-4d6d-ae92-b6cb39766d0a;;email;smtp_password;var;"";;true;""
fd7441d5-d348-4660-8c0b-6413220c680d;;email;smtp_secure;var;tls;;true;""
e1c17089-1e75-4e46-9e59-4748bb6a6cec;;email;smtp_validate_certificate;boolean;true;;true;set to false to ignore SSL certificate warnings e.g. for self-signed certificates
8a07ab78-f386-482c-85dd-7ce8127597d6;;login;password_reset_key;text;sb.jv8.Ik%!Iwo*.6W.B;;false;Display a Reset Password link on the login box (requires smtp_host be defined).
962ac32c-74ce-4cce-b1d9-89f4d921493d;;login;domain_name_visible;boolean;true;;false;Displays a domain input or select box (if domain_name array defined) on the login box.
796508ee-894d-4566-bb7f-e1269a6e0e26;;login;domain_name;array;pbx1.yourdomain.com;;false;Domain select option displayed on the login box.
e20ff5fb-cc63-474b-90f8-f472d2247317;;dashboard;admin;array;voicemail;;true;Enable Dashboard Voicemail block for users in the admin group.
39bdd07e-dca5-4aea-949b-72286bd66fe4;;dashboard;admin;array;missed;;true;Enable Dashboard Missed Calls block for users in the admin group.
49dbc472-7c68-46b7-84da-986b3e925850;;dashboard;admin;array;recent;;true;Enable Dashboard Recent Calls block for users in the admin group.
08095792-7fa7-4d6d-9fc4-d1ba8b4f80b7;;dashboard;admin;array;limits;;false;Enable Dashboard Domain Limits block for users in the admin group.
d8ee1c50-0c3f-41b8-879a-d0b9c58e4479;;dashboard;admin;array;counts;;true;Enable Dashboard Domain Counts block for users in the admin group.
5d96872d-7828-489e-b87a-0e7b75cf1a84;;dashboard;admin;array;call_routing;;true;Enable Dashboard Call Routing controls for users in the admin group.
f7ca9dc1-b06e-4477-94c6-c660792ebe6c;;dashboard;admin;array;ring_groups;;true;Enable Dashboard Ring Group Forwarding controls for users in the admin group.
610cfc85-7a17-4c96-a7c7-a83054710bc1;;dashboard;superadmin;array;voicemail;;true;Enable Dashboard Voicemail block for users in the superadmin group.
e5064608-707a-456d-8b1d-d658e7f1b8f8;;dashboard;superadmin;array;missed;;true;Enable Dashboard Missed Calls block for users in the superadmin group.
da9dc1a2-5d10-4fa4-82f9-0baebc1f8222;;dashboard;superadmin;array;recent;;true;Enable Dashboard Recent Calls block for users in the superadmin group.
b15264cf-9200-458f-a71a-5967ee7118a7;;dashboard;superadmin;array;limits;;false;Enable Dashboard Domain Limits block for users in the superadmin group.
3aa6b8d3-bd6d-4f4f-9a62-104f3452f31b;;dashboard;superadmin;array;counts;;true;Enable Dashboard System Counts block for users in the superadmin group.
13387e37-bf0a-43ca-a24f-94339bd61208;;dashboard;superadmin;array;system;;true;Enable Dashboard System Status block for users in the superadmin group.
8ca6fc59-9243-4a4f-9358-006469cf828a;;dashboard;superadmin;array;call_routing;;true;Enable Dashboard Call Routing controls for users in the superadmin group.
78bb45d5-8108-4bed-aced-d764575531dc;;dashboard;superadmin;array;ring_groups;;true;Enable Dashboard Ring Group Forwarding controls for users in the superadmin group.
d2bf2781-18c2-44a4-bdf4-68516e68d69c;;dashboard;user;array;voicemail;;true;Enable Dashboard Voicemail block for users in the users group.
22f90e1b-112c-4842-af77-376226e5aa46;;dashboard;user;array;missed;;true;Enable Dashboard Missed Calls block for users in the users group.
f1bf3d93-29ce-4c3e-8e91-e8ec36d1220b;;dashboard;user;array;recent;;true;Enable Dashboard Recent Calls block for users in the users group.
8f74f69b-58f1-4040-9d4e-e949d384a915;;dashboard;user;array;call_routing;;true;Enable Dashboard Call Routing controls for users in the users group.
f4e9247b-bfd1-40ed-9a1e-920e7d9ed2bb;;dashboard;user;array;ring_groups;;true;Enable Dashboard Ring Group Forwarding controls for users in the users group.
38cf53d2-5fae-43ed-be93-33b0a5cc1c38;;user;unique;text;global;;false;""
727977e5-8b5f-4d80-af37-41fd3a4a1859;;limit;users;numeric;3;;false;""
4c8df6ee-5858-40ee-b90f-b3b1d066a91c;;theme;background_color;array;#6c89b5;;true;Set a background color.
d79fb881-8a1c-4082-9ef9-5ff359186e30;;theme;background_color;array;#144794;;true;"Set a secondary background color, for a gradient effect."
e46af53d-0dd7-4b2b-9806-f790a477f245;;theme;domain_visible;text;true;;true;Set the visibility of the name of the domain currently being managed.
4a92f422-934f-4ae9-b918-fa932cb1e089;;theme;logout_icon_visible;text;false;;true;Set the visibility of the logout icon.
b339908b-6208-4459-93ba-9c469db8549b;;theme;domain_color;text;#ffffff;;false;Set the text color (and opacity) for domain name.
524204fa-4ffe-415e-9436-b1b26b7633a6;;theme;domain_color_hover;text;#69e5ff;;false;Set the text hover color (and opacity) for domain name.
1affbed5-383e-4562-8c17-d9b534328649;;theme;logout_icon_color;text;#ffffff;;false;Set the color (and opacity) for the logout icon (if visible).
a10f1791-135b-4041-b094-f95e25e2a0bf;;theme;logout_icon_color_hover;text;#69e5ff;;false;Set the hover color (and opacity) for the logout icon (if visible).
028f1f3e-92dc-4d01-ae62-66cc27367508;;theme;menu_main_toggle_color;text;#ffffff;;false;Set the color (and opacity) for the menu toggle icon (in mobile view).
00cc9b63-f53e-4dc4-9211-7136ad6a4beb;;theme;menu_main_toggle_color_hover;text;#69e5ff;;false;Set the hover color (and opacity) for the menu toggle icon (in mobile view).
9cc1929c-0318-4733-bf46-483e898800fd;;theme;footer_background_color;text;"rgba(0,0,0,0.1)";;true;Set the background color (and opacity) for the footer bar.
55ae9ce5-1e7d-4ff5-a667-582365780799;;theme;footer_color;text;"rgba(255,255,255,0.1)";;false;Set the text color (and opacity) for the footer bar.
9cfc274d-a4d7-40d6-9ec4-1ea7610c90b5;;theme;footer_border_radius;text;0 0 4px 4px;;false;Set the border radius of the footer bar.
214fbeb7-e063-4984-8e56-89bb323c8b2a;;theme;message_default_background_color;text;#ccffcc;;true;Set the background color for the positive (default) message bar.
34b0c2d3-77f9-42f1-9b39-57132ff6fed7;;theme;message_default_color;text;#004200;;true;Set the text color for the positive (default) message bar text.
635387b9-e094-411a-a39c-3055b5cc9347;;theme;message_negative_background_color;text;#ffcdcd;;true;Set the background color for the negative message bar.
3c03df5c-e140-427b-9b08-bc3d89b3c4df;;theme;message_negative_color;text;#670000;;true;Set the text color for the negative message bar text.
d2133297-c72b-40db-a85e-54bd13060433;;theme;message_alert_background_color;text;#ffe585;;true;Set the background color for the alert message bar.
f8a16dbb-24fb-4765-a954-4ab6eaf1f020;;theme;message_alert_color;text;#d66721;;true;Set the text color for the alert message bar text.
